id,created_at,vendor_id,customer_id
2,2019-08-01 18:43:57.052767,3,1398
3,2019-08-01 11:51:07.349383,2,7449
4,2019-08-01 15:26:46.084807,5,7082
5,2019-08-01 03:34:05.665990,5,5727
6,2019-08-01 16:30:57.126590,5,5281
7,2019-08-01 12:06:25.266253,3,9636
8,2019-08-01 19:23:48.749388,7,5080
9,2019-08-01 09:35:59.456757,2,3872
10,2019-08-01 22:34:19.602495,2,4516
11,2019-08-02 01:20:59.124548,9,5405
12,2019-08-02 19:23:56.135468,6,4212
13,2019-08-02 21:03:47.395720,9,4478
14,2019-08-02 21:49:39.176606,4,3250
15,2019-08-02 22:29:26.731292,2,4014
16,2019-08-02 11:19:59.721380,8,408
17,2019-08-02 12:02:30.370169,1,9593
18,2019-08-02 11:54:15.391115,4,5456
19,2019-08-02 23:13:07.183946,5,4742
20,2019-08-02 01:01:55.866474,4,8310
21,2019-08-03 10:29:50.299166,8,570
22,2019-08-03 05:18:02.773584,2,5153
23,2019-08-03 12:04:38.381055,2,7902
24,2019-08-03 04:48:22.593876,3,6513
25,2019-08-03 05:45:14.762892,9,1068
26,2019-08-03 21:12:17.456317,7,9656
27,2019-08-03 16:41:38.446312,6,8332
28,2019-08-03 14:01:26.618203,4,6920
29,2019-08-03 12:06:36.152582,4,3002
30,2019-08-03 00:57:48.110048,5,1694
31,2019-08-04 23:29:56.731961,2,9720
32,2019-08-04 06:11:45.703987,9,5224
33,2019-08-04 23:31:14.227796,5,8259
34,2019-08-04 22:56:38.809734,5,1968
35,2019-08-04 09:02:16.432819,7,1284
36,2019-08-04 16:33:44.777758,5,6409
37,2019-08-04 09:15:52.514089,5,7936
38,2019-08-04 03:23:48.509329,5,5338
39,2019-08-04 11:24:17.686090,6,1304
40,2019-08-04 02:28:44.978923,2,9185
41,2019-08-05 09:19:04.729622,1,2876
42,2019-08-05 12:25:28.255811,1,1549
43,2019-08-05 04:29:41.560650,6,9586
44,2019-08-05 18:24:09.476075,6,6215
45,2019-08-05 13:13:29.916741,7,1843
46,2019-08-05 17:02:01.321707,5,7540
47,2019-08-05 00:45:28.815074,8,5583
48,2019-08-05 23:12:04.787931,9,9839
49,2019-08-05 05:16:56.793632,9,4461
50,2019-08-06 22:55:14.106680,7,7383
51,2019-08-06 23:23:31.854656,3,7479
52,2019-08-06 11:04:29.287433,7,8485
53,2019-08-06 21:55:44.938375,9,4562
54,2019-08-06 17:49:35.455674,7,2024
55,2019-08-06 05:12:40.527009,3,5662
56,2019-08-06 04:42:12.419344,1,6840
57,2019-08-06 15:49:13.644753,6,5482
58,2019-08-06 12:43:43.242602,7,4758
59,2019-08-07 01:50:17.334500,7,6692
60,2019-08-07 18:26:27.648847,4,3666
61,2019-08-07 11:19:34.296228,7,7434
62,2019-08-07 03:54:57.177045,3,8675
63,2019-08-07 02:49:30.426476,2,5717
64,2019-08-07 12:17:19.818937,4,8220
65,2019-08-07 23:27:05.663279,1,5268
66,2019-08-07 05:41:29.033764,5,4744
67,2019-08-07 00:32:33.422946,3,6131
68,2019-08-07 15:22:34.793475,5,7907
69,2019-08-08 05:04:52.073995,7,3189
70,2019-08-08 02:17:36.737874,2,6350
71,2019-08-08 23:36:25.882535,3,9626
72,2019-08-08 15:22:55.993547,6,4525
73,2019-08-08 01:20:17.767515,6,1278
74,2019-08-08 06:19:36.393790,1,4087
75,2019-08-08 00:15:49.843761,6,1592
76,2019-08-08 23:48:23.175664,7,4914
77,2019-08-09 02:46:42.913172,1,1035
78,2019-08-09 08:08:46.027697,5,6124
79,2019-08-09 11:34:12.501174,4,8790
80,2019-08-09 05:47:38.834078,9,4313
81,2019-08-09 03:18:07.335396,6,2958
82,2019-08-10 16:26:16.940573,9,8825
83,2019-08-10 20:53:50.236962,8,4075
84,2019-08-10 14:58:59.129051,3,1134
85,2019-08-10 20:59:45.037644,1,4030
86,2019-08-10 20:43:43.434072,1,5097
87,2019-08-11 09:14:30.150639,8,6168
88,2019-08-11 05:40:32.067543,7,6725
89,2019-08-11 02:37:33.079863,4,3502
90,2019-08-11 18:58:47.224584,4,5608
91,2019-08-11 04:13:57.987559,2,5898
92,2019-08-11 05:13:25.160301,5,4904
93,2019-08-11 14:00:14.506082,7,5792
94,2019-08-11 03:04:59.919724,5,3264
95,2019-08-11 04:34:19.720832,8,5494
96,2019-08-11 17:18:19.374648,9,3966
97,2019-08-12 13:18:45.793450,4,7308
98,2019-08-12 16:07:08.364133,6,2417
99,2019-08-12 14:06:02.069562,2,2870
100,2019-08-12 00:42:29.175002,3,58
101,2019-08-12 23:37:51.263348,3,94
102,2019-08-12 08:06:11.422116,6,9380
103,2019-08-12 22:09:34.069578,7,4076
104,2019-08-12 05:36:46.623561,9,9915
105,2019-08-12 13:24:37.055059,2,7649
106,2019-08-12 11:36:22.610859,8,8229
107,2019-08-13 15:29:06.984969,4,3136
108,2019-08-13 12:30:02.370939,5,615
109,2019-08-13 00:10:36.715760,6,2217
110,2019-08-13 08:30:19.877842,9,6217
111,2019-08-13 02:35:42.282755,8,4172
112,2019-08-13 20:44:42.045693,4,9543
113,2019-08-14 18:13:19.269249,1,4480
114,2019-08-14 23:48:15.427700,1,2829
115,2019-08-14 15:49:18.069663,8,6319
116,2019-08-14 06:07:10.573345,7,5391
117,2019-08-14 00:13:43.162072,7,7249
118,2019-08-14 06:10:13.103525,2,2775
119,2019-08-14 13:39:51.201597,3,5203
120,2019-08-15 20:32:56.667558,7,9757
121,2019-08-15 18:47:58.706041,3,1081
122,2019-08-15 18:40:18.109497,4,184
123,2019-08-15 23:08:31.497128,9,4800
124,2019-08-15 02:10:34.368354,2,2341
125,2019-08-15 16:28:12.941500,1,2303
126,2019-08-15 14:10:01.747259,4,2871
127,2019-08-15 23:46:41.472111,9,53
128,2019-08-15 09:49:34.210914,1,812
129,2019-08-15 21:17:21.463009,7,6021
130,2019-08-16 18:05:29.524647,5,8032
131,2019-08-16 12:33:14.619851,1,8582
132,2019-08-16 02:06:27.289103,1,4106
133,2019-08-16 08:27:21.750292,7,5535
134,2019-08-16 17:23:36.603760,2,9372
135,2019-08-16 10:11:54.707415,7,3755
136,2019-08-16 17:58:12.792638,9,1739
137,2019-08-16 09:39:42.754179,7,9975
138,2019-08-17 05:04:19.002645,9,355
139,2019-08-17 16:35:06.834421,6,475
140,2019-08-17 12:38:51.479661,6,807
141,2019-08-17 06:57:31.300722,7,5658
142,2019-08-17 13:35:10.616888,1,735
143,2019-08-17 21:50:20.087433,4,6754
144,2019-08-17 05:46:02.383076,2,9179
145,2019-08-18 17:41:05.964480,2,5401
146,2019-08-18 02:23:35.836475,1,9874
147,2019-08-18 07:25:01.146717,6,6724
148,2019-08-18 06:28:25.605244,6,89
149,2019-08-18 00:50:49.399983,9,8429
150,2019-08-18 10:07:02.105922,3,9863
151,2019-08-18 00:49:24.501712,3,2220
152,2019-08-18 01:42:06.266844,5,6377
153,2019-08-18 16:55:14.465327,5,1683
154,2019-08-19 08:29:06.871832,3,6430
155,2019-08-19 18:33:21.533752,2,973
156,2019-08-19 08:24:19.678748,7,8076
157,2019-08-19 08:34:22.638273,2,9833
158,2019-08-19 03:53:01.018149,5,2072
159,2019-08-20 10:40:02.642655,3,8896
160,2019-08-20 13:02:53.562467,8,7872
161,2019-08-20 02:30:12.595080,7,7113
162,2019-08-20 04:00:01.765682,5,4232
163,2019-08-20 08:44:46.422381,5,5360
164,2019-08-21 14:25:01.718080,2,5880
165,2019-08-21 08:41:49.959685,4,1841
166,2019-08-21 03:35:57.591071,6,144
167,2019-08-21 03:34:15.657905,3,8569
