date,product_id,promotion_id
2019-08-01,572,3
2019-08-01,242,4
2019-08-01,416,2
2019-08-01,272,2
2019-08-01,126,3
2019-08-01,486,3
2019-08-01,227,2
2019-08-01,139,4
2019-08-01,98,3
2019-08-01,835,5
2019-08-02,68,2
2019-08-02,459,4
2019-08-02,49,2
2019-08-02,394,3
2019-08-02,545,4
2019-08-02,191,1
2019-08-02,556,2
2019-08-02,132,5
2019-08-02,151,4
2019-08-02,730,2
2019-08-03,203,4
2019-08-03,578,4
2019-08-03,152,4
2019-08-03,465,2
2019-08-03,523,3
2019-08-03,857,2
2019-08-03,476,4
2019-08-03,467,1
2019-08-03,352,2
2019-08-03,482,3
2019-08-04,287,3
2019-08-04,523,2
2019-08-04,38,3
2019-08-04,402,1
2019-08-04,772,4
2019-08-04,382,5
2019-08-04,241,4
2019-08-04,849,3
2019-08-04,570,3
2019-08-04,577,5
2019-08-05,418,1
2019-08-05,260,2
2019-08-05,675,3
2019-08-05,507,4
2019-08-05,672,3
2019-08-05,279,4
2019-08-05,150,3
2019-08-05,791,2
2019-08-05,94,2
2019-08-05,335,5
2019-08-06,384,3
2019-08-06,154,5
2019-08-06,10,5
2019-08-06,210,5
2019-08-06,77,1
2019-08-06,659,5
2019-08-06,209,4
2019-08-06,772,1
2019-08-06,630,2
2019-08-06,339,1
2019-08-07,278,3
2019-08-07,495,4
2019-08-07,298,1
2019-08-07,721,4
2019-08-07,469,2
2019-08-07,614,5
2019-08-07,210,3
2019-08-07,470,3
2019-08-07,864,3
2019-08-07,545,1
2019-08-08,206,3
2019-08-08,216,4
2019-08-08,566,4
2019-08-08,521,1
2019-08-08,234,5
2019-08-08,412,5
2019-08-08,23,4
2019-08-08,132,1
2019-08-08,390,5
2019-08-08,2,1
2019-08-09,282,1
2019-08-09,449,4
2019-08-09,799,2
2019-08-09,60,4
2019-08-09,44,3
2019-08-09,98,5
2019-08-09,197,3
2019-08-09,406,4
2019-08-09,697,2
2019-08-09,857,4
2019-08-10,827,2
2019-08-10,642,4
2019-08-10,718,4
2019-08-10,770,2
2019-08-10,179,2
2019-08-10,494,4
2019-08-10,280,4
2019-08-10,803,3
2019-08-10,570,1
2019-08-10,775,2
2019-08-11,315,2
